Kategori1;Kategori2;Kategori3;Harga;HargaAtas; OmsetMinimum;JumlahTerjual;JumlahReview;JumlahRating;ValidOrder;KotaPengiriman;PenjualanSebelumnya;KenaikanPenjualan;PersentaseKenaikanPenjualan;ReviewSebelumnya;KenaikanReviewPenjualan;PersentaseKenaikanReview;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Perawatan Sepatu;Rp. 2295;Rp. 2295; Rp481.731.975,00 ;209.905;29.520;4,73;14,06%;KOTA JAKARTA UTARA;24.621;5.284;2,58;2.963;457;1,57;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Tali Sepatu;Rp. 499;Rp. 499; Rp14.039.365,00 ;28.135;589;4,74;2,09%;KAB. TANGERANG;24.334;381;15,62;531;58;10,92;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Aksesoris & Perawatan Sepatu Lainnya;Rp. 5999;Rp. 5999; Rp257.171.131,00 ;42.869;4.799;4,88;11,19%;KAB. TANGERANG;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Aksesoris & Perawatan Sepatu Lainnya;Rp. 2700;Rp. 2700; Rp101.598.300,00 ;37.629;7.227;4,85;19,21%;KAB. TANGERANG;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 7900;Rp. 11900; Rp125.215.000,00 ;15.850;4.827;4,88;30,45%;KOTA JAKARTA UTARA;12.865;2.985;23,22;3.988;839;21,04;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 4950;Rp. 10500; Rp122.651.100,00 ;24.778;8.064;4,84;32,54%;KOTA JAKARTA UTARA;2.184;2.974;13,64;713;961;13,53;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Aksesoris & Perawatan Sepatu Lainnya;Rp. 2700;Rp. 2700; Rp88.017.300,00 ;32.599;4.593;4,87;14,09%;KAB. TANGERANG;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 4680;Rp. 16900; Rp40.856.400,00 ;8.730;3.080;4,88;35,28%;KOTA JAKARTA UTARA;6.391;2.339;36,60;2.235;845;37,81;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 6555;Rp. 14155; Rp217.180.260,00 ;33.132;9.729;4,84;29,36%;KOTA JAKARTA UTARA;3.794;2.338;7,59;899;739;8,22;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 5790;Rp. 5790; Rp27.809.370,00 ;4.803;1.021;4,79;21,26%;KOTA JAKARTA BARAT;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 5000;Rp. 5000; Rp11.865.000,00 ;2.373;307;4,87;12,94%;KOTA JAKARTA BARAT;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Tali Sepatu;Rp. 1500;Rp. 1500; Rp91.965.000,00 ;61.310;881;4,86;1,44%;KAB. BOGOR;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 3780;Rp. 3780; Rp24.271.380,00 ;6.421;1.563;4,83;24,34%;KOTA JAKARTA UTARA;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 6900;Rp. 10500; Rp103.520.700,00 ;15.003;4.623;4,87;30,81%;KOTA JAKARTA UTARA;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 4900;Rp. 12900; Rp60.613.000,00 ;12.370;3.208;4,66;25,93%;KOTA SURABAYA;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 7125;Rp. 18711; Rp160.668.750,00 ;22.550;6.727;4,86;29,83%;KOTA JAKARTA UTARA;2.169;1.481;7,29;6.283;444;7,07;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 24900;Rp. 24900; Rp249.298.800,00 ;10.012;4.095;4,84;40,90%;KOTA JAKARTA BARAT;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 4990;Rp. 19720; Rp43.567.690,00 ;8.731;3.253;4,85;37,26%;KOTA JAKARTA UTARA;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 3750;Rp. 3750; Rp19.886.250,00 ;5.303;875;4,84;16,50%;KAB. TANGERANG;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Perawatan Sepatu;Rp. 3000;Rp. 4000; Rp20.931.000,00 ;6.977;1.292;4,35;18,52%;KOTA TANGERANG;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 5470;Rp. 5470; Rp7.537.660,00 ;1.378;343;4,83;24,89%;KAB. TANGERANG;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Tali Sepatu;Rp. 9990;Rp. 9990; Rp29.370.600,00 ;2.940;624;4,87;21,22%;KOTA JAKARTA BARAT;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Aksesoris & Perawatan Sepatu Lainnya;Rp. 2350;Rp. 2350; Rp526.818.300,00 ;224.178;16.326;4,83;7,28%;KAB. TANGERANG;22.299;1.188;0,53;16.256;7;0,43;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Sol Dalam Sepatu;Rp. 3300;Rp. 3300; Rp16.490.100,00 ;4.997;740;4,79;14,81%;KOTA JAKARTA BARAT;;;;;;0,00;;
Sepatu Wanita;Aksesoris & Perawatan Sepatu;Tali Sepatu;Rp. 2000;Rp. 2000; Rp89.088.000,00 ;44.544;2.572;4,89;5,77%;KOTA DEPOK;;;;;;0,00;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;USB HUB & Card Reader;Rp. 4100;Rp. 4100; Rp159.830.300,00 ;38.983;3.987;4,79;10,23%;KOTA JAKARTA UTARA;36.366;2.617;7,20;3.838;149;3,88;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Pelindung Laptop & Skin Laptop;Rp. 300;Rp. 300; Rp1.161.000,00 ;3.870;9;5,00;0,23%;KOTA JAKARTA UTARA;;;;;;0,00;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;USB HUB & Card Reader;Rp. 6500;Rp. 21750; Rp43.914.000,00 ;6.756;65;4,97;0,96%;KAB. INDRAMAYU;562;1.694;33,47;53;12;22,64;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Mouse Pad;Rp. 2399;Rp. 2399; Rp81.705.142,00 ;34.058;4.237;4,83;12,44%;KOTA TANGERANG;3.161;2.457;7,78;447;19;4,69;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Mouse Pad;Rp. 99000;Rp. 99000; Rp197.307.000,00 ;1.993;109;5,00;5,47%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Webcam;Rp. 54000;Rp. 54000; Rp519.534.000,00 ;9.621;4.398;4,69;45,71%;KOTA JAKARTA PUSAT;8.189;1.432;17,49;3.653;745;20,39;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Cooling Pad;Rp. 28900;Rp. 28900; Rp246.517.000,00 ;8.530;3.469;4,61;40,67%;KOTA JAKARTA UTARA;6.292;2.238;35,57;2.579;89;34,51;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Pelindung Laptop & Skin Laptop;Rp. 500;Rp. 500; Rp8.970.500,00 ;17.941;1.742;4,77;9,71%;KOTA DEPOK;;;;;;0,00;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Meja & Stand Laptop;Rp. 49000;Rp. 109000; Rp799.141.000,00 ;16.309;7.940;4,68;48,68%;KAB. BEKASI;14.788;1.521;1,29;725;735;10,20;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;USB HUB & Card Reader;Rp. 3500;Rp. 3500; Rp120.106.000,00 ;34.316;6.894;4,65;20,09%;KOTA DEPOK;32.548;1.768;5,43;666;234;3,51;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Mouse Pad;Rp. 3745;Rp. 3745; Rp44.576.735,00 ;11.903;2.528;4,84;21,24%;KOTA SURABAYA;;;;;;0,00;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;USB HUB & Card Reader;Rp. 2200;Rp. 4000; Rp3.341.800,00 ;1.519;179;4,56;11,78%;KOTA TANGERANG;;;;;;0,00;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;USB HUB & Card Reader;Rp. 13800;Rp. 20500; Rp24.660.600,00 ;1.787;746;4,51;41,75%;KOTA JAKARTA BARAT;;;;;;0,00;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Meja & Stand Laptop;Rp. 7999;Rp. 7999; Rp148.245.467,00 ;18.533;7.974;4,47;43,03%;KOTA JAKARTA UTARA;17.372;1.161;6,68;7.559;415;5,49;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;USB HUB & Card Reader;Rp. 14400;Rp. 21000; Rp188.078.400,00 ;13.061;5.923;4,59;45,35%;KOTA JAKARTA UTARA;11.938;1.123;9,47;5.421;52;9,26;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;Pelindung Keyboard & Trackpad;Rp. 80000;Rp. 88000; Rp2.614.720.000,00 ;32.684;14.935;4,92;45,70%;KOTA BANDUNG;31.538;1.146;3,63;14.482;453;3,13;;
Komputer & Aksesoris;Aksesoris Desktop & Laptop;USB HUB & Card Reader;Rp. 48900;Rp. 48900; Rp209.047.500,00 ;4.275;2.156;4,74;50,43%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Kamera & Drone;Aksesoris Drone;;Rp. 100;Rp. 100; Rp282.400,00 ;2.824;8;5,00;0,28%;KAB. BEKASI;;;;;;0,00;;
Mobil;Aksesoris Eksterior Mobil;Stiker, Logo, & Emblem Mobil;Rp. 100;Rp. 100; Rp764.500,00 ;7.645;6;5,00;0,08%;KOTA JAKARTA BARAT;;;;;;0,00;;
Mobil;Aksesoris Eksterior Mobil;Stiker, Logo, & Emblem Mobil;Rp. 1000;Rp. 1000; Rp44.768.000,00 ;44.768;412;4,92;0,92%;KAB. BOGOR;39.344;5.424;13,79;367;45;12,26;;
Mobil;Aksesoris Eksterior Mobil;Stiker, Logo, & Emblem Mobil;Rp. 12175;Rp. 16415; Rp103.864.925,00 ;8.531;1.155;4,76;13,54%;Luar Negeri;4.585;3.946;86,63;45;75;185,19;;
Mobil;Aksesoris Eksterior Mobil;Aksesoris Plat Nomor Mobil;Rp. 11200;Rp. 11200; Rp9.016.000,00 ;805;300;4,80;37,27%;KOTA JAKARTA BARAT;;;;;;0,00;;
Mobil;Aksesoris Eksterior Mobil;Stiker, Logo, & Emblem Mobil;Rp. 9990;Rp. 9990; Rp279.490.230,00 ;27.977;4.234;4,75;15,13%;KOTA SEMARANG;;;;;;0,00;;
Mobil;Aksesoris Eksterior Mobil;Hiasan Mobil;Rp. 550;Rp. 550; Rp23.400.300,00 ;42.546;320;4,86;0,75%;KOTA JAKARTA PUSAT;;;;;;0,00;;
Mobil;Aksesoris Eksterior Mobil;Stiker, Logo, & Emblem Mobil;Rp. 1000;Rp. 1000; Rp44.509.000,00 ;44.509;251;4,96;0,56%;KOTA SURABAYA;41.637;2.872;6,90;236;15;6,36;;
Mobil;Aksesoris Eksterior Mobil;Spion & Aksesoris;Rp. 1600;Rp. 1600; Rp78.755.200,00 ;49.222;9.082;4,66;18,45%;KOTA JAKARTA BARAT;46.214;38;6,59;862;462;5,36;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 800;Rp. 800; Rp2.092.800,00 ;2.616;11;5,00;0,42%;KAB. REMBANG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 390;Rp. 2600; Rp4.980.690,00 ;12.771;133;4,88;1,04%;KOTA YOGYAKARTA;944;3.367;35,84;12;13;10,83;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 2000;Rp. 5000; Rp8.960.000,00 ;4.480;3;5,00;0,07%;KOTA BANDUNG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 99;Rp. 250; Rp8.434.899,00 ;85.201;3;5,00;0,00%;KOTA BANDUNG;7.921;6;7,58;3;;;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 365;Rp. 400; Rp876.000,00 ;2.400;0;0,00;0,00%;KOTA BANDUNG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 4250;Rp. 4250; Rp126.165.500,00 ;29.686;5.245;4,87;17,67%;KAB. TANGERANG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 251;Rp. 251; Rp6.350.300,00 ;25.300;13;5,00;0,05%;KAB. BANDUNG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 160;Rp. 160; Rp960.000,00 ;6.000;1;5,00;0,02%;KAB. BANDUNG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 380;Rp. 2375; Rp227.836.220,00 ;599.569;3.227;4,93;0,54%;KAB. GUNUNG KIDUL;589.161;148;1,77;3.184;43;1,35;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 380;Rp. 1650; Rp28.404.240,00 ;74.748;334;4,93;0,45%;KAB. GUNUNG KIDUL;6.691;7.847;11,73;34;3;9,87;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 116;Rp. 561; Rp417.600,00 ;3.600;1;5,00;0,03%;KOTA BANDUNG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 617;Rp. 2470; Rp63.773.737,00 ;103.361;557;4,93;0,54%;KAB. SLEMAN;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 1000;Rp. 1000; Rp20.225.000,00 ;20.225;20;4,90;0,10%;KAB. GUNUNG KIDUL;18.355;187;1,19;14;6;42,86;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 699;Rp. 699; Rp5.283.741,00 ;7.559;41;4,95;0,54%;KAB. TASIKMALAYA;442;3.517;87,11;18;23;127,78;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 2350;Rp. 4300; Rp101.071.150,00 ;43.009;2.624;4,92;6,10%;KOTA JAKARTA TIMUR;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 4500;Rp. 12900; Rp449.527.500,00 ;99.895;20.427;4,86;20,45%;KOTA DEPOK;93.454;6.441;6,89;19.426;11;5,15;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 284;Rp. 341; Rp4.430.400,00 ;15.600;7;5,00;0,04%;KOTA BANDUNG;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 363;Rp. 363; Rp1.887.600,00 ;5.200;3;5,00;0,06%;KAB. SLEMAN;;;;;;0,00;;
Aksesoris Fashion;Aksesoris Fashion Lainnya;;Rp. 900;Rp. 900; Rp114.766.200,00 ;127.518;244;4,99;0,19%;KAB. BANDUNG BARAT;123.523;3.995;3,23;238;6;2,52;;
